"device","brand","model","part_name","stock_quantity","unit_cost_ksh","supplier","reorder_threshold","reorder_time_days"
"Laptop","Dell","Inspiron 14","Motherboard","131","7237","FixIt Supplies","21","11"
"Tablet","Apple","iPad Air 5","Back Cover","298","6555","DigitalCare","45","10"
"Tablet","Lenovo","Tab K10","Power Button","248","5722","TechWorld","48","5"
"Laptop","Acer","Swift X","Charging Port","81","10555","TechWorld","26","9"
"Desktop PC","Dell","OptiPlex 7090","Power Button","65","14853","DigitalCare","37","4"
"Tablet","Samsung","Tab A7 Lite","Battery","283","3774","ElectroSpare","29","3"
"Phone","Xiaomi","Mi 11","Charging Port","142","6645","RepairHub","49","13"
"Laptop","Dell","Inspiron 15","Charger","120","11704","TechWorld","24","12"
"Desktop PC","Dell","Inspiron 3910","Battery","282","10351","SmartParts Kenya","16","6"
"Phone","Samsung","Z Flip 5","Camera","269","900","TechWorld","19","3"
"Phone","Xiaomi","Redmi Note 13","Charger","146","1685","ElectroSpare","48","6"
"Laptop","Dell","Latitude 7420","Microphone","203","1417","TechWorld","13","9"
"Desktop PC","HP","Z4 Tower","Battery","267","4045","GadgetFix","44","4"
"Desktop PC","Lenovo","ThinkCentre M90","Speaker","297","6702","QuickRepair","50","6"
"Desktop PC","Dell","OptiPlex 7090","Charging Port","244","1429","QuickRepair","49","13"
"Desktop PC","HP","Pavilion 590","Microphone","262","9228","RepairHub","26","9"
"Tablet","Samsung","Tab S6 Lite","Microphone","289","11057","ElectroSpare","20","14"
"Desktop PC","Dell","Vostro 3710","Microphone","195","14362","ElectroSpare","20","8"
"Laptop","Acer","Swift 3","Back Cover","108","2355","MobileFix","30","4"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Battery","129","5282","ElectroSpare","32","5"
"Tablet","Huawei","MatePad T10","Microphone","23","5551","MobileFix","47","7"
"Laptop","HP","Stream 14","Camera","292","10271","FixIt Supplies","21","10"
"Laptop","HP","EliteBook 840","Screen","169","9489","DigitalCare","44","9"
"Phone","iPhone","12 Pro","Charger","158","5538","QuickRepair","39","4"
"Tablet","Lenovo","Tab M9","Motherboard","292","1476","FixIt Supplies","10","9"
"Desktop PC","Lenovo","IdeaCentre 5","Power Button","195","6948","TechWorld","19","8"
"Desktop PC","HP","OMEN 45L","Power Button","51","8104","GadgetFix","50","13"
"Desktop PC","Lenovo","ThinkCentre M90","Motherboard","116","7192","QuickRepair","45","13"
"Tablet","Huawei","MatePad 11","Charging Port","113","5809","GadgetFix","50","10"
"Laptop","HP","Chromebook 14","Back Cover","115","7204","QuickRepair","12","8"
"Desktop PC","Lenovo","ThinkCentre M90","Speaker","257","11094","MobileFix","30","13"
"Tablet","Lenovo","Tab P11","Microphone","147","11676","DigitalCare","36","5"
"Desktop PC","Lenovo","IdeaCentre 3","Charger","178","1121","ElectroSpare","50","14"
"Tablet","Apple","iPad 8th Gen","Power Button","184","14884","SmartParts Kenya","32","3"
"Laptop","Dell","Latitude 7420","Speaker","69","6295","QuickRepair","49","6"
"Laptop","Asus","VivoBook 15","Back Cover","297","7185","GadgetFix","15","11"
"Phone","iPhone","13 Mini","Charging Port","122","3472","DigitalCare","31","7"
"Desktop PC","Dell","OptiPlex 7090","Camera","191","6306","RepairHub","21","6"
"Laptop","Asus","VivoBook 15","Charging Port","194","7903","DigitalCare","19","6"
"Phone","Samsung","Z Flip 5","Power Button","109","7080","QuickRepair","38","11"
"Laptop","HP","Envy x360","Power Button","103","6935","FixIt Supplies","41","12"
"Laptop","Lenovo","IdeaPad Slim 5","Battery","190","12209","TechWorld","11","4"
"Desktop PC","Lenovo","ThinkStation P340","Screen","238","4800","QuickRepair","39","14"
"Desktop PC","HP","Pavilion 590","Camera","200","4527","MobileFix","22","11"
"Laptop","HP","Omen 17","Battery","111","13965","PartsZone","36","9"
"Desktop PC","HP","Z4 Tower","Screen","108","10828","RepairHub","45","5"
"Phone","Xiaomi","12T","Screen","183","1004","MobileFix","20","12"
"Laptop","Asus","ROG Strix","Battery","102","6124","QuickRepair","35","11"
"Tablet","Lenovo","Tab P11 Pro","Screen","51","12885","TechWorld","30","8"
"Phone","Vivo","V30","Speaker","63","11976","GadgetFix","13","14"
"Laptop","Dell","Vostro 3510","Speaker","224","3275","RepairHub","46","13"
"Tablet","Lenovo","Tab P11 Pro","Battery","255","2324","TechWorld","47","7"
"Laptop","Acer","Swift X","Back Cover","188","12909","FixIt Supplies","45","4"
"Desktop PC","Dell","PowerEdge T40","Battery",192,"5720","RepairHub","17","9"
"Phone","Samsung","A73","Camera","247","5351","MobileFix","32","13"
"Desktop PC","Dell","Vostro 3710","Screen","232","704","RepairHub","17","11"
"Desktop PC","Dell","Vostro 3710","Screen","26","8993","MobileFix","29","3"
"Desktop PC","HP","Slim S01","Back Cover","297","5185","FixIt Supplies","47","14"
"Desktop PC","Lenovo","ThinkStation P360","Charger","135","8897","SmartParts Kenya","25","10"
"Tablet","Lenovo","Tab P11","Power Button","197","4463","FixIt Supplies","17","10"
"Phone","Samsung","Z Flip 5","Motherboard","214","3870","SmartParts Kenya","43","9"
"Phone","Vivo","V29","Battery","249","8959","TechWorld","13","8"
"Tablet","Samsung","Tab S6 Lite","Speaker","190","8807","PartsZone","49","6"
"Laptop","Dell","Alienware M15","Back Cover","247","700","GadgetFix","43","9"
"Laptop","Acer","Swift 3","Charging Port","289","2175","MobileFix","49","6"
"Laptop","Dell","Alienware M15","Battery","195","10339","PartsZone","14","5"
"Tablet","Lenovo","Tab M8","Battery","121","6467","SmartParts Kenya","40","12"
"Desktop PC","HP","Envy Desktop","Camera","155","5997","QuickRepair","26","10"
"Laptop","Lenovo","ThinkBook 14","Power Button","119","2857","QuickRepair","47","7"
"Laptop","HP","Stream 14","Motherboard","69","11234","FixIt Supplies","49","5"
"Tablet","Samsung","Tab S5e","Motherboard","150","7631","GadgetFix","49","13"
"Phone","Samsung","S23","Speaker","244","7408","ElectroSpare","43","3"
"Desktop PC","HP","Z2 Mini","Screen","161","7875","MobileFix","42","5"
"Laptop","HP","ProBook 450","Back Cover","168","6591","TechWorld","38","4"
"Desktop PC","Lenovo","ThinkStation P360","Microphone","80","5261","PartsZone","21","10"
"Laptop","HP","Chromebook 14","Power Button","116","9501","QuickRepair","45","9"
"Phone","Huawei","P40","Charger","80","8753","RepairHub","48","4"
"Desktop PC","Lenovo","ThinkCentre Neo 50","Microphone","99","13524","QuickRepair","18","13"
"Tablet","Apple","iPad 8th Gen","Speaker","94","3460","ElectroSpare","14","9"
"Tablet","Lenovo","Tab P12","Microphone","121","14592","ElectroSpare","44","13"
"Phone","Vivo","V30","Screen","42","13686","MobileFix","20","7"
"Desktop PC","HP","All-in-One 24","Microphone","253","5058","PartsZone","25","4"
"Laptop","Acer","Extensa 15","Power Button","92","11273","PartsZone","50","8"
"Tablet","Samsung","Tab A7 Lite","Motherboard","150","3660","DigitalCare","27","7"
"Phone","Huawei","Nova 10","Motherboard","26","6298","RepairHub","12","10"
"Desktop PC","Lenovo","Yoga AIO 7","Battery","292","6626","ElectroSpare","42","14"
"Desktop PC","Dell","Vostro 3710","Battery","157","13410","RepairHub","18","6"
"Tablet","Apple","iPad 9th Gen","Camera","34","3938","PartsZone","42","5"
"Desktop PC","Dell","OptiPlex 5090","Charger","251","12692","ElectroSpare","41","13"
"Desktop PC","Dell","XPS 8950","Back Cover","267","3945","RepairHub","13","10"
"Phone","Huawei","P40","Charging Port","235","10507","MobileFix","15","13"
"Laptop","Asus","VivoBook S14","Power Button","259","13189","DigitalCare","14","4"
"Laptop","Acer","Predator Helios 16","Motherboard","185","6552","QuickRepair","20","9"
"Tablet","Lenovo","Tab P12","Charging Port","114","3782","TechWorld","50","6"
"Tablet","Samsung","Tab Active4 Pro","Battery","241","1089","TechWorld","20","13"
"Phone","iPhone","11","Power Button","230","2273","SmartParts Kenya","42","5"
"Phone","Xiaomi","Poco F5","Camera","28","9788","PartsZone","39","3"
"Desktop PC","HP","Z2 Mini","Motherboard","255","4668","SmartParts Kenya","48","12"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Microphone","81","4569","ElectroSpare","37","14"
"Laptop","Acer","Swift X","Camera","120","1231","GadgetFix","45","5"
"Laptop","Asus","ZenBook 14","Battery","218","13737","MobileFix","39","8"
"Phone","Vivo","Y19","Back Cover","85","6679","FixIt Supplies","18","11"
"Tablet","Huawei","MatePad T10","Charger","99","1370","MobileFix","34","14"
"Tablet","Apple","iPad Air 4","Charger","284","12045","ElectroSpare","12","8"
"Desktop PC","Dell","PowerEdge T40","Microphone","218","8678","RepairHub","17","4"
"Desktop PC","HP","Envy Desktop","Speaker","181","3933","PartsZone","25","8"
"Laptop","Asus","Chromebook C434","Motherboard","39","2426","TechWorld","49","8"
"Laptop","HP","Omen 17","Charger","119","6811","TechWorld","43","8"
"Tablet","Lenovo","Yoga Smart Tab","Microphone","172","4829","RepairHub","13","5"
"Desktop PC","HP","All-in-One 24","Back Cover","100","12200","PartsZone","31","12"
"Laptop","Dell","Precision 5560","Charging Port","295","3432","GadgetFix","38","12"
"Desktop PC","Dell","Vostro 3710","Motherboard","65","9825","GadgetFix","45","8"
"Tablet","Samsung","Tab S6 Lite","Screen","57","9901","ElectroSpare","16","11"
"Phone","Huawei","Mate 50","Motherboard","132","11031","RepairHub","30","8"
"Phone","Huawei","Nova 9","Screen","122","14047","RepairHub","44","12"
"Desktop PC","Dell","Inspiron 3880","Power Button","30","8666","FixIt Supplies","48","5"
"Desktop PC","Lenovo","Legion T5","Battery","300","2654","DigitalCare","31","12"
"Laptop","Lenovo","Flex 5","Screen","100","12852","MobileFix","46","5"
"Laptop","Asus","ZenBook Flip","Camera","220","11162","DigitalCare","49","11"
"Laptop","Acer","Predator Helios 16","Speaker","142","10252","MobileFix","31","14"
"Tablet","Samsung","Tab Active4 Pro","Motherboard","96","3729","SmartParts Kenya","44","10"
"Phone","Xiaomi","13T Pro","Back Cover","106","7718","FixIt Supplies","23","9"
"Phone","iPhone","15 Pro","Power Button","220","6069","SmartParts Kenya","22","3"
"Desktop PC","Dell","Vostro 3710","Camera","295","9186","PartsZone","25","6"
"Phone","Huawei","Nova 11","Back Cover","280","2351","PartsZone","13","14"
"Tablet","Huawei","MatePad T8","Battery","275","6728","DigitalCare","17","5"
"Phone","Xiaomi","Poco F5","Battery","164","8697","MobileFix","30","7"
"Desktop PC","HP","Envy Desktop","Motherboard","36","7224","TechWorld","50","3"
"Laptop","Acer","Extensa 15","Charger","227","7792","PartsZone","27","6"
"Phone","Samsung","Note 20","Power Button","226","5240","GadgetFix","35","11"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Screen","153","1749","MobileFix","16","6"
"Laptop","HP","Stream 14","Camera","300","12016","FixIt Supplies","29","9"
"Desktop PC","HP","Z2 Mini","Screen","175","1826","RepairHub","45","12"
"Laptop","Dell","Vostro 3510","Battery","82","10554","SmartParts Kenya","43","4"
"Laptop","Asus","ZenBook 14","Camera","75","6764","GadgetFix","25","3"
"Desktop PC","HP","All-in-One 24","Back Cover","55","9549","QuickRepair","20","9"
"Laptop","Lenovo","Legion 5","Battery","100","8303","SmartParts Kenya","16","5"
"Phone","iPhone","15 Pro","Motherboard","213","7162","FixIt Supplies","11","7"
"Laptop","Acer","Nitro 5","Power Button","61","4673","RepairHub","20","7"
"Desktop PC","HP","EliteDesk 800","Camera","294","11002","ElectroSpare","46","4"
"Laptop","Acer","Aspire 3","Camera","158","13136","FixIt Supplies","15","11"
"Phone","iPhone","13 Mini","Power Button","143","9455","DigitalCare","49","6"
"Laptop","Asus","ExpertBook B5","Battery","258","5330","SmartParts Kenya","15","8"
"Laptop","Acer","Aspire 3","Charger","169","4484","RepairHub","32","7"
"Laptop","Acer","Aspire 3","Microphone","165","10032","ElectroSpare","42","12"
"Desktop PC","Lenovo","IdeaCentre 3","Microphone","81","10614","DigitalCare","14","11"
"Tablet","Samsung","Tab S7 FE","Speaker","24","2620","MobileFix","43","14"
"Laptop","Dell","Inspiron 15","Screen","255","3134","FixIt Supplies","12","3"
"Desktop PC","HP","EliteDesk 800","Camera","175","4347","MobileFix","15","11"
"Laptop","Asus","ROG Zephyrus G14","Microphone","235","505","SmartParts Kenya","21","11"
"Desktop PC","HP","ProDesk 400","Speaker","275","3101","FixIt Supplies","23","6"
"Tablet","Huawei","MediaPad M5","Microphone","87","8514","QuickRepair","20","9"
"Tablet","Huawei","MatePad 10.4","Charging Port","280","12399","SmartParts Kenya","20","10"
"Desktop PC","Dell","XPS Desktop","Back Cover","93","1964","MobileFix","24","13"
"Desktop PC","HP","Z2 Mini","Power Button","257","11052","ElectroSpare","39","7"
"Laptop","Dell","Latitude 7420","Back Cover","139","13891","ElectroSpare","38","4"
"Laptop","HP","EliteBook 840","Battery","145","871","QuickRepair","40","3"
"Laptop","Asus","ProArt StudioBook","Camera","153","7434","ElectroSpare","24","10"
"Laptop","Lenovo","V15","Charging Port","269","5426","DigitalCare","47","8"
"Tablet","Lenovo","Tab P12","Charger","72","4103","ElectroSpare","39","13"
"Laptop","Acer","Spin 5","Charger","253","10649","TechWorld","10","7"
"Tablet","Huawei","MatePad Paper","Battery","276","4811","SmartParts Kenya","45","11"
"Laptop","Dell","Vostro 3510","Charger","203","11000","MobileFix","23","14"
"Desktop PC","HP","Pavilion 590","Speaker","296","10751","GadgetFix","30","6"
"Phone","Xiaomi","Redmi 10","Microphone","188","8213","SmartParts Kenya","34","10"
"Laptop","Asus","TUF Gaming F15","Back Cover","78","8887","GadgetFix","32","3"
"Phone","Xiaomi","11 Lite","Motherboard","281","8840","QuickRepair","29","8"
"Laptop","Asus","ExpertBook B5","Speaker","226","13320","QuickRepair","45","13"
"Desktop PC","HP","Envy Desktop","Screen","261","7567","PartsZone","20","14"
"Tablet","Samsung","Tab Active4 Pro","Power Button","188","10481","SmartParts Kenya","14","11"
"Phone","Huawei","P40","Camera","118","5853","GadgetFix","23","4"
"Tablet","Samsung","Tab A8","Charger","216","4264","GadgetFix","47","10"
"Desktop PC","Dell","Inspiron 3880","Charger","101","8811","MobileFix","27","7"
"Desktop PC","HP","Envy Desktop","Speaker","31","5709","DigitalCare","46","6"
"Tablet","Apple","iPad 8th Gen","Battery","102","7164","PartsZone","24","6"
"Tablet","Apple","iPad 10th Gen","Battery","140","6772","GadgetFix","11","6"
"Tablet","Lenovo","Tab M9","Speaker","212","11703","FixIt Supplies","47","4"
"Tablet","Apple","iPad Air 4","Charger","28","6061","DigitalCare","30","3"
"Phone","Samsung","M14","Motherboard","227","3191","PartsZone","48","12"
"Laptop","Lenovo","ThinkPad X1","Charging Port","140","3883","PartsZone","30","4"
"Phone","Huawei","Y7a","Screen","61","1633","RepairHub","26","13"
"Desktop PC","Dell","PowerEdge T40","Microphone","276","9447","ElectroSpare","23","8"
"Desktop PC","Dell","Precision 3650","Speaker","164","12169","FixIt Supplies","34","10"
"Laptop","Lenovo","Flex 5","Back Cover","196","3184","RepairHub","46","8"
"Tablet","Huawei","MatePad T10","Charging Port","87","8119","QuickRepair","28","14"
"Phone","Vivo","Y22","Battery","169","4386","PartsZone","12","11"
"Tablet","Apple","iPad 9th Gen","Microphone","201","12700","DigitalCare","21","13"
"Laptop","Asus","ROG Zephyrus G14","Charger","31","14023","SmartParts Kenya","24","14"
"Laptop","Dell","Latitude 5400","Power Button","212","13891","RepairHub","28","14"
"Phone","Huawei","P50","Motherboard","73","10576","DigitalCare","44","10"
"Laptop","Acer","Spin 5","Back Cover","62","6323","TechWorld","46","5"
"Desktop PC","Dell","Inspiron 3880","Motherboard","244","12251","PartsZone","49","11"
"Laptop","HP","Victus 16","Motherboard","242","8388","DigitalCare","37","14"
"Laptop","Dell","Alienware M15","Speaker","134","9201","GadgetFix","41","3"
"Desktop PC","Dell","Inspiron 3910","Camera","185","1351","SmartParts Kenya","16","4"
"Laptop","Asus","Chromebook C434","Battery","73","1192","DigitalCare","40","9"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Camera","159","13742","QuickRepair","34","7"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Screen","100","13450","GadgetFix","13","9"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Charging Port","238","7313","FixIt Supplies","13","4"
"Laptop","Acer","Swift 3","Back Cover","228","3839","MobileFix","36","3"
"Phone","Huawei","P40","Power Button","207","620","PartsZone","13","4"
"Laptop","HP","ProBook 450","Power Button","255","6341","DigitalCare","28","4"
"Tablet","Huawei","MatePad 10.4","Camera","213","9920","FixIt Supplies","25","3"
"Laptop","Asus","ZenBook 14","Charger","34","14594","DigitalCare","18","11"
"Desktop PC","Dell","Alienware Aurora","Charging Port","158","14635","PartsZone","43","11"
"Desktop PC","HP","OMEN 45L","Speaker","192","7369","DigitalCare","22","6"
"Laptop","Lenovo","ThinkPad X1","Camera","94","5241","QuickRepair","25","12"
"Desktop PC","Dell","XPS 8950","Camera","36","7474","SmartParts Kenya","32","3"
"Laptop","Asus","TUF Gaming F15","Charger","242","5636","SmartParts Kenya","31","9"
"Tablet","Samsung","Tab S7 FE","Camera","242","12192","MobileFix","18","3"
"Laptop","Asus","VivoBook S14","Battery","178","3075","PartsZone","42","8"
"Phone","Vivo","V25","Microphone","227","11290","FixIt Supplies","12","8"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Battery","129","12058","ElectroSpare","25","5"
"Desktop PC","Lenovo","ThinkStation P360","Battery","195","7954","RepairHub","33","11"
"Desktop PC","Dell","Vostro 3710","Power Button","294","3239","ElectroSpare","10","5"
"Tablet","Huawei","MediaPad M5","Charging Port","47","13254","FixIt Supplies","22","9"
"Laptop","Acer","Nitro 5","Speaker","295","5989","ElectroSpare","38","9"
"Phone","Vivo","Y19","Battery","58","9330","FixIt Supplies","48","12"
"Tablet","Lenovo","Tab M9","Charger","218","14292","ElectroSpare","44","4"
"Tablet","Samsung","Galaxy Tab S9","Motherboard","267","3080","DigitalCare","46","9"
"Phone","Vivo","Y27","Charging Port","143","681","GadgetFix","11","3"
"Desktop PC","Dell","XPS 8950","Charging Port","24","10770","GadgetFix","49","4"
"Desktop PC","HP","Pavilion 590","Camera","115","3737","FixIt Supplies","23","7"
"Phone","Vivo","Y36","Charging Port","84","6061","QuickRepair","16","3"
"Desktop PC","HP","Z2 Mini","Power Button","25","3666","ElectroSpare","30","13"
"Tablet","Apple","iPad 9th Gen","Motherboard","240","14637","FixIt Supplies","47","7"
"Laptop","Asus","ROG Strix","Power Button","67","9334","ElectroSpare","49","4"
"Tablet","Apple","iPad 8th Gen","Microphone","207","4870","TechWorld","35","9"
"Desktop PC","HP","Compaq 6200","Motherboard","115","5149","RepairHub","30","3"
"Laptop","Dell","G15","Screen","150","7321","DigitalCare","35","12"
"Tablet","Lenovo","Tab K10","Speaker","24","14689","TechWorld","20","8"
"Desktop PC","Dell","Precision 3650","Power Button","140","1866","SmartParts Kenya","39","3"
"Phone","Xiaomi","Poco X5","Charging Port","201","5210","DigitalCare","34","14"
"Laptop","Lenovo","Flex 5","Power Button","93","14846","FixIt Supplies","43","11"
"Desktop PC","HP","Compaq 6200","Back Cover","175","6915","FixIt Supplies","23","7"
"Phone","Xiaomi","13","Microphone","285","9314","TechWorld","24","9"
"Laptop","Dell","XPS 13","Camera","233","4725","SmartParts Kenya","34","4"
"Laptop","Asus","ZenBook Flip","Camera","83","6890","GadgetFix","17","4"
"Tablet","Lenovo","Tab P11 Pro","Screen","128","3239","RepairHub","34","3"
"Laptop","Lenovo","IdeaPad Slim 5","Screen","170","750","DigitalCare","19","4"
