product_category,problem,repair_status,brand,model,year_of_manufacture
power tool,sander something blew motor,end of life,Unknown,Unknown,????
laptop,laptop mousepad issue diy ready,end of life,Unknown,Unknown,????
tv and gaming related accessories,skybox no power it was the power adapter,fixed,Unknown,Unknown,????
laptop,laptop running slow and loud cleaned it,fixed,Unknown,Unknown,????
laptop,laptop usb ports brought the wrong spare,end of life,Unknown,Unknown,????
fan,tower fan no power fuse replaced,fixed,Unknown,Unknown,????
laptop,laptop keyboard replaced,fixed,Unknown,Unknown,????
vacuum,hoover not pulling air improved,fixed,Unknown,Unknown,????
headphones,headphones contuinity fault,fixed,Unknown,Unknown,????
laptop,laptop spontaneous shuts down,end of life,Unknown,Unknown,????
tablet,tablet power jack replaced,fixed,Unknown,Unknown,????
laptop,netbook screen issue,end of life,Unknown,Unknown,????
mobile,mobile power jack,fixed,Unknown,Unknown,????
headphones,headphones power jack sugrued and soldered,fixed,Unknown,Unknown,????
laptop,laptop power problem adapter broken,end of life,Unknown,Unknown,????
misc,cordless phone continuity fault needs new charger,fixed,Unknown,Unknown,????
small kitchen item,wall clock no power battery changed,fixed,Unknown,Unknown,????
power tool,drill not charging needed a spare part,end of life,Unknown,Unknown,????
tablet,tablet no power,fixed,Apple,Unknown,????
mobile,mobile screen issue referred to professional,repairable,Samsung,Unknown,????
portable radio,radio sound issue digital tuner broken,end of life,Unknown,Unknown,????
vacuum,hoover broken hose,fixed,Unknown,Unknown,????
small kitchen item,blender no power needed torx screwdrivers,repairable,Unknown,Unknown,????
laptop,laptop mechanical issue,fixed,Unknown,Unknown,????
digital compact camera,camera not taking photos needs further advice,end of life,Unknown,Unknown,????
mobile,headphones no power just a power supply issue,fixed,Unknown,Unknown,????
handheld entertainment device,mp3 player not charging needs a spare part,repairable,Unknown,Unknown,????
laptop,laptop dodgy keyboard,fixed,Unknown,Unknown,????
tv and gaming related accessories,dvd player no power needs more work,end of life,Unknown,Unknown,????
digital compact camera,camera lens mechanism needs more work,end of life,Unknown,Unknown,????
mobile,mobile home button needs more work,repairable,Samsung,Unknown,????
mobile,mobile home button power switch needs spare part diy ready,repairable,Apple,Unknown,????
tablet,tablet power in loose needs new power supply,fixed,Unknown,Unknown,????
mobile,mobile screen issue self fix,fixed,Google,Unknown,????
headphones,bluetooth headset no sound parts missing,repairable,Unknown,Unknown,????
tablet,tablet intermittent power,fixed,Apple,Unknown,????
mobile,mobile lens smashed self fix,fixed,Samsung,Unknown,????
power tool,drill no power motor burned out,end of life,Unknown,Unknown,????
hi fi separates,external speakers no sound in one channel,fixed,JBL,Unknown,????
mobile,headphones no sound in one channel,fixed,Unknown,Unknown,????
toaster,toaster no power mystery,end of life,Unknown,Unknown,????
printer scanner,printer stopped printing needs deeper clean,end of life,Canon,Unknown,????
dlsr video camera,video8 camcorder no playback motor broken,end of life,Sony,Unknown,????
power tool,drill no power motor broken,end of life,Unknown,Unknown,????
aircon dehumidifier,oil heater no power needs parts,repairable,Unknown,Unknown,????
tv and gaming related accessories,tv tuner not receiving needs parts,end of life,Unknown,Unknown,????
kettle,kettle not heating adequately,fixed,Unknown,Unknown,????
laptop,laptop no power needs more time,repairable,Unknown,Unknown,????
laptop,laptop wifi issue,fixed,Unknown,Unknown,????
lamp,bike light continuity fault,fixed,Unknown,Unknown,????
headphones,headphones no sound in one channel diy ready,end of life,Unknown,Unknown,????
portable radio,radio blown beyond repair,end of life,Unknown,Unknown,????
tablet,tablet running slow,fixed,Apple,Unknown,????
laptop,laptop power in loose needs more permanent repair,fixed,Unknown,Unknown,????
mobile,mobile usb port referred to professional,end of life,Samsung,Unknown,????
mobile,mobile bootloop referred to professional,end of life,Samsung,Unknown,????
pc accessory,laptop charger continuity fault needs replacement jack,end of life,Unknown,Unknown,????
hi fi separates,dab radio no sound,end of life,Unknown,Unknown,????
laptop,laptop screen issue work around,fixed,Unknown,Unknown,????
decorative or safety lights,watch battery need better tools,end of life,Unknown,Unknown,????
handheld entertainment device,mp3 player screen issue needs replacement,repairable,Apple,Unknown,????
handheld entertainment device,gps screen issue needs replacement,repairable,Unknown,Unknown,????
laptop,laptop touchpad faulty,fixed,Unknown,Unknown,????
small kitchen item,juicer no power motor issue,end of life,Unknown,Unknown,????
hi fi separates,audio component does not read discs,end of life,Unknown,Unknown,????
hi fi separates,speakers no power replacement part id ed,end of life,Unknown,Unknown,????
laptop,laptop no power motherboard issue,end of life,Unknown,Unknown,????
small kitchen item,blender jug stuck needs replacement part,repairable,Unknown,Unknown,????
laptop,laptop no power needs replacement part,repairable,Unknown,Unknown,????
hi fi separates,tape delay no sound output advice given,repairable,Unknown,Unknown,????
hi fi separates,turntable not turning diy ready,end of life,Unknown,Unknown,????
tablet,tablet screen issue spare part sourced,repairable,Unknown,Unknown,????
laptop,laptop failed os reinstall hd problem,end of life,Unknown,Unknown,????
small kitchen item,handmixer no strength,fixed,Unknown,Unknown,????
mobile,mobile screen issue self repair,fixed,Sony,Unknown,????
pc accessory,keyboard water damage needs deep clean,end of life,Apple,Unknown,????
hi fi separates,audio component powers on no response needs more time,repairable,Unknown,Unknown,????
pc accessory,printer powerpack needs testing works,fixed,Unknown,Unknown,????
toaster,toaster mechanical issue,fixed,Unknown,Unknown,????
tablet,tablet screen issue self repair,fixed,Apple,Unknown,????
portable radio,dab radio screen issue,end of life,Unknown,Unknown,????
projector,projector,end of life,Unknown,Unknown,????
pc accessory,external hd,end of life,Unknown,Unknown,????
printer scanner,photocopier paper jam,fixed,Unknown,Unknown,????
toy,toy,unknown,Unknown,Unknown,????
pc accessory,external hd won t boot,end of life,Unknown,Unknown,????
laptop,personal dvd player does not read discs,end of life,Unknown,Unknown,????
desktop computer,desktop pc won t boot needs new power supply,repairable,Unknown,Unknown,????
small kitchen item,blender no power needs more time impossible to open,end of life,Unknown,Unknown,????
tablet,tablet won t boot probably component level repair,repairable,Apple,Unknown,????
projector,projector image problem,fixed,Unknown,Unknown,????
laptop,laptop screen issue bad spare part,repairable,Dell,Unknown,????
hi fi integrated,home stereo no sound everything but casette tapes,fixed,Sony,Unknown,????
laptop,laptop power in loose no time,end of life,Unknown,Unknown,????
misc,lined phone intermittent fault appears to be fixed,fixed,Unknown,Unknown,????
tablet,ebook reader botched repair,fixed,Samsung,Unknown,????
mobile,remote control no signal signal detected,fixed,Unknown,Unknown,????
laptop,laptop running slow speeded up,fixed,Apple,Unknown,????
hi fi separates,audio component no power 3rd time we ve seen it,repairable,Unknown,Unknown,????
small kitchen item,mini fridge no power probably psu,end of life,Unknown,Unknown,????
fan,fan in pieces missing parts,repairable,Unknown,Unknown,????
tablet,tablet screen issue we replaced the screen her 2nd time,fixed,Unknown,Unknown,????
hi fi integrated,portable stereo cassette broken needs a new belt,repairable,Unknown,Unknown,????
laptop,laptop overheating needs start button checked,fixed,Unknown,Unknown,????
pc accessory,speakers no sound in one channel new jack and resoldered,fixed,Unknown,Unknown,????
laptop,laptop power in loose fitted replacement,fixed,Unknown,Unknown,????
small kitchen item,blender no power safety catch made it difficult to use,fixed,Unknown,Unknown,????
hi fi separates,audio component no power midas touch,fixed,Unknown,Unknown,????
hi fi separates,audio component no sound something wrong with relay,end of life,Unknown,Unknown,????
laptop,laptop won t boot diy ready going to install linux,repairable,Unknown,Unknown,????
vacuum,hoover weak suction brushes need cleaning,repairable,Unknown,Unknown,????
laptop,laptops hinge broken,fixed,Unknown,Unknown,????
hi fi separates,speakers no sound in one channel spare jack,repairable,Unknown,Unknown,????
decorative or safety lights,fairy lights no light couldn t locate the problem,end of life,Unknown,Unknown,????
handheld entertainment device,portable cassette intermittent fault,repairable,Unknown,Unknown,????
hi fi separates,audio component no sound needs more work,repairable,Unknown,Unknown,????
aircon dehumidifier,dehumidier no power needs more time,repairable,Unknown,Unknown,????
hi fi separates,audio component intermittent fault,repairable,Unknown,Unknown,????
handheld entertainment device,mp3 player no power needs more troubleshooting,end of life,Unknown,Unknown,????
laptop,laptop won t boot windows update,fixed,Unknown,Unknown,????
laptop,laptop screen issue reballing,repairable,Unknown,Unknown,????
laptop,laptop hard drive issue needs more work,end of life,Unknown,Unknown,????
laptop,lamp dim on one side diy ready,repairable,Unknown,Unknown,????
laptop,laptop dvd drive diy ready,repairable,Unknown,Unknown,????
vacuum,hoover no heat diy ready,repairable,Unknown,Unknown,????
laptop,laptop in built mouse,fixed,Unknown,Unknown,????
laptop,laptop fan running it seems to work fine,fixed,Unknown,Unknown,????
lamp,lamp continuity,fixed,Unknown,Unknown,????
mobile,mobile power in loose improved,fixed,HTC,Unknown,????
hi fi separates,boombox cassette broken midas touch,fixed,Unknown,Unknown,????
laptop,laptop screen issue needs a new cable,repairable,Apple,Unknown,????
laptop,laptop running slow diy ready needs linux,repairable,Unknown,Unknown,????
headphones,headphones jack,fixed,Unknown,Unknown,????
mobile,mobile screen issue needs a new digitizer,end of life,HTC,Unknown,????
laptop,laptop running slow slightly improved,fixed,Apple,Unknown,????
tablet,tablet screen issue coming back for full 3 hours,repairable,Apple,Unknown,????
tablet,tablet won t boot failed os reinstall,repairable,Unknown,Unknown,????
laptop,laptop won t boot suspect it s the hd,repairable,Unknown,Unknown,????
handheld entertainment device,handheld videogame screen issue dead,end of life,Nintendo,Unknown,????
handheld entertainment device,handheld videogame won t boot,fixed,Nintendo,Unknown,????
digital compact camera,camera,end of life,Unknown,Unknown,????
hi fi separates,mini amp no sound,fixed,Unknown,Unknown,????
mobile,mobile screen issue sugrued,fixed,BlackBerry,Unknown,????
aircon dehumidifier,humidifier no power suspect it s the motor,end of life,Unknown,Unknown,????
toaster,toaster mechanical,repairable,Unknown,Unknown,????
tablet,tablet screen replacement incomplete,fixed,Apple,Unknown,????
aircon dehumidifier,dehumidier no power,fixed,Unknown,Unknown,????
laptop,laptop no sign of life,end of life,Apple,Unknown,????
portable radio,analog radio does not tune,end of life,Unknown,Unknown,????
laptop,laptop damaged after drop hd problem id ed,repairable,Apple,Unknown,????
tv and gaming related accessories,wahwah pedal no power needs components,repairable,Unknown,Unknown,????
mobile,mobile running slow factory reset,fixed,Sony,Unknown,????
laptop,laptop failed os update linux install,fixed,Unknown,Unknown,????
laptop,laptop screen issue part id ed,repairable,Apple,Unknown,????
laptop,laptop screen issue beyond repair,end of life,Toshiba,Unknown,????
dlsr video camera,digital videocamera no power needs more testing,end of life,Unknown,Unknown,????
power tool,sander no power motor,end of life,Black & Decker,Unknown,????
digital compact camera,digital camera lens retracts,fixed,Nikon,Unknown,????
mobile,mobile screen replacement broke the ribbon cable on replacement,repairable,Motorola,Atrix,????
pc accessory,external hd clicking very dead,end of life,Unknown,Unknown,????
laptop,macbook running slow faster needs more work,fixed,Unknown,Unknown,????
pc accessory,external speakers usb port damaged beyond repair,end of life,Unknown,Unknown,????
mobile,mobile screen issue diy repair,fixed,Unknown,Unknown,????
mobile,mobile not charging,fixed,Unknown,Unknown,????
laptop,laptop not booting diy ready,end of life,Unknown,Unknown,????
laptop,laptop not booting booting after totally dead needs new trackpad and hd,fixed,Apple,Unknown,????
laptop,laptop screen issue advised to look into a ssd,repairable,Apple,Unknown,????
tablet,tablet not powering off diy ready needs new os download,repairable,Google,Unknown,????
laptop,laptop power jack faulty,fixed,Unknown,Unknown,????
handheld entertainment device,mini voice recorder no power mystery,end of life,Olympus,Unknown,????
mobile,mobile no power battery,end of life,Nokia,Unknown,????
laptop,laptop running slow hot cleaned and software update,fixed,Apple,Unknown,????
handheld entertainment device,walkman cassette broken needed to break it to open it,end of life,Sony,Unknown,????
mobile,mp3 player firmware reset seemed to fix it,fixed,Unknown,Unknown,????
laptop,laptop running slow improved,fixed,Unknown,Unknown,????
portable radio,dab radio digital tuning broken mystery,end of life,Pure,Unknown,????
tablet,netbook wifi configs bad,fixed,Unknown,Unknown,????
desktop computer,pc tower running slow needs new hd,repairable,Dell,Unknown,????
laptop,laptop internet issue on ubuntu diy ready,repairable,Unknown,Unknown,????
lamp,lamp no light simply a fuse,fixed,Unknown,Unknown,????
decorative or safety lights,bike light no light,fixed,Unknown,Unknown,????
laptop,laptop running slow needs more time,repairable,Unknown,Unknown,????
pc accessory,computer speakers no sound in one channel,fixed,Unknown,Unknown,????
pc accessory,mobile charger bad connection soldered and sugrued,fixed,Apple,Unknown,????
pc accessory,mobile charger receiver circuit board level,repairable,Unknown,Unknown,????
mobile,mobile flaky data connection problem with the provider,end of life,HTC,Unknown,????
hi fi separates,mini mp3 stereo loose port,end of life,JBL,Unknown,????
small kitchen item,blender part broken,repairable,Vitamix,Unknown,????
vacuum,hoover no power changed plug,fixed,Unknown,Unknown,????
pc accessory,external hd usb connector,end of life,Unknown,Unknown,????
laptop,laptop not booting boots needs new hd,fixed,Apple,Unknown,????
projector,projector gets power no image diy ready,repairable,Unknown,Unknown,????
laptop,laptop software problem improved but needs linux,fixed,Compaq,Unknown,????
mobile,mobile spontaneously shuts off diy ready,repairable,Unknown,Unknown,????
pc accessory,usb sticks damaged looks like a virus,fixed,Unknown,Unknown,????
laptop,laptop screen issue work around going to use with external monitor,fixed,Unknown,Unknown,????
kettle,kettle no power,repairable,Unknown,Unknown,????
desktop computer,pc no internet,fixed,Unknown,Unknown,????
tv and gaming related accessories,satellite tv box no signal needs more work,repairable,Unknown,Unknown,????
power tool,drill no power not worth the repair,end of life,Unknown,Unknown,????
hair beauty item,shaver possible water damage needs a second test,fixed,Unknown,Unknown,????
